"City","1956","1966","1980","1990","2000","2010"
"Taipei",737029,1202952,2267584,2760475,2624257,2655515
"NewTaipei",668093,1143288,2364521,3065779,3722082,4054467
"Taoyuan",411575,660293,1067951,1377934,1808833,2190342
"Taichung",784475,1113291,1634820,2057857,2499527,2731056
"Tainan",992411,1333735,1541402,1695110,1846379,1840257
"Kaohsiung",899828,1445669,2225021,2512858,2756775,2777384
